Exporters	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Importer
Hong Kong, China	100112	118246	99809	111857	114937	116257	81298	126488	98590	131366	263505	254349	Turkey
Syrian Arab Republic	221454	452493	336646	67448	106239	143826	51506	65389	70561	69389	117716	245610	Turkey
Croatia	107384	211348	310965	209766	218264	144083	135385	133517	216867	188722	224027	241349	Turkey
Uruguay	30099	171664	230884	97979	110017	49393	158178	234379	388659	497241	303071	225294	Turkey
Bosnia and Herzegovina	52059	72328	90252	111649	141369	185700	250089	288291	268974	241221	193645	203069	Turkey
Moldova, Republic of	86520	110732	244482	135053	262929	262382	216926	147737	180559	160455	264286	181389	Turkey
Bahrain	24289	71682	111454	158922	172395	289965	104471	127780	186751	186842	191813	177923	Turkey
Belarus	83732	154633	183201	190210	193939	148061	192831	102567	182969	193292	165074	176005	Turkey
Bolivia, Plurinational State of	910	1613	3268	5798	2075	3808	943	18252	73772	92141	112155	167162	Turkey
Estonia	102011	146192	368107	311253	267029	312533	278134	237536	300080	220199	195646	166325	Turkey
Guinea	922	2655	1954	4803	12343	5407	3820	6367	18109	66393	4865	162017	Turkey
Ecuador	77406	79051	102867	105652	170459	195426	81614	97574	99724	72227	170512	155857	Turkey
Latvia	50465	71360	129787	160296	170589	171670	122832	202022	141081	165120	166667	155479	Turkey
Tunisia	234980	280720	249790	195624	314532	227279	144077	214382	206466	182080	190113	150605	Turkey
Tajikistan	107267	283689	324283	345178	441750	239653	203760	162255	197767	201406	198072	149040	Turkey
Luxembourg	79460	114342	162527	145858	142033	157944	224346	134490	124388	152433	114563	139746	Turkey
Macedonia, North	39879	52399	91963	103224	84908	83282	80929	82581	101147	107928	107585	130733	Turkey
Philippines	98699	107400	122311	157737	192992	132091	115774	122375	145868	122444	137610	129981	Turkey
Nigeria	146863	220546	365549	113175	164743	160134	189985	157814	156286	143432	156021	128978	Turkey
Malta	135163	196156	324158	216491	77935	43490	26172	39078	52203	35948	72492	107129	Turkey
Sudan	0	0	0	11171	32999	19618	24607	49636	86321	73323	82266	105466	Turkey
Liberia	1133	7596	3003	24170	12041	14319	1897	8987	8660	13738	12573	100209	Turkey
Jordan	20354	42450	66480	95996	89246	159175	127919	102259	112644	97848	48963	94201	Turkey
Kyrgyzstan	31446	30900	52123	45226	106805	119998	76858	101067	143794	47342	77244	91159	Turkey
Sri Lanka	98136	155567	128686	84432	93077	100149	87862	105099	113804	100682	101458	89890	Turkey
Cyprus	42837	58468	81709	75631	92682	109172	69463	64653	66756	67834	62465	80082	Turkey
Mozambique	66179	43346	71001	156385	68473	75084	72378	90820	136779	105637	72741	71046	Turkey
Chad	29	113	30	9662	12354	17270	21619	23657	27342	26271	35333	70732	Turkey
Costa Rica	60452	60506	79367	76288	200867	163461	49719	43753	43527	39034	56501	65993	Turkey
Cambodia	20010	27981	45843	53768	71327	107713	94745	77217	77175	75916	73336	63784	Turkey
Venezuela, Bolivarian Republic of	120742	149846	153280	197720	195229	123414	106970	65252	116538	1019197	19799	61778	Turkey
Rwanda	1	0	1	0	438	3	118	111	123	131	184	54052	Turkey
Kuwait	184219	214515	270446	278464	353461	255097	141425	110703	169403	144372	146805	53385	Turkey
Lebanon	108800	228536	282744	176393	206954	150216	67228	81805	131205	169556	64239	51549	Turkey
Tanzania, United Republic of	11078	14332	21788	26022	51776	40833	34564	23094	48737	41052	29751	49681	Turkey
Myanmar	17583	23840	15377	4214	8213	10409	8058	11103	25605	37206	52233	48430	Turkey
Cameroon	21162	39911	47727	30172	43101	38756	35313	45284	53864	46981	52143	43775	Turkey
Ethiopia	35115	40934	41799	46956	72701	79192	35718	35310	31527	34441	51484	40527	Turkey
Panama	12028	20670	38908	38519	51075	23936	18958	12177	28812	41575	12273	40217	Turkey
Marshall Islands	2982	0	67	5923	1354	437	17042	8797	26720	6754	17227	37920	Turkey
Palestine, State of	274	576	271	464	1425	2631	2343	3364	4975	6660	9034	35993	Turkey
New Zealand	28279	48030	57704	54586	89802	118034	62702	46558	34876	25836	49542	35599	Turkey
Albania	4694	86859	125916	98989	83819	100340	49578	20602	24166	22163	22276	33589	Turkey
Afghanistan	4649	5098	4795	6461	20961	35789	11889	9398	8831	11656	24053	27299	Turkey
Mauritania	662	1441	15062	4189	3656	16020	12871	15129	45111	30825	83224	27039	Turkey
Iceland	6941	18094	27936	14099	20326	25214	30733	27991	32230	27221	26537	25964	Turkey
Kenya	5813	13378	14749	17877	14547	17001	13241	13164	17114	18797	17310	24066	Turkey
Trinidad and Tobago	16867	1558	13088	14781	3616	12612	24226	16318	25035	10641	52584	22895	Turkey
Gabon	11584	4966	3474	5752	18481	3002	3092	1701	3447	8202	8324	20376	Turkey
Malawi	30050	20222	11904	17238	25451	39021	29228	16185	17015	16400	18005	19807	Turkey
Senegal	1489	1449	2509	2163	5581	4631	5517	6138	4946	12585	10209	19029	Turkey
Montenegro	5845	6214	14588	17936	11638	7127	8001	23364	24081	14217	12912	18020	Turkey
Guatemala	2471	11908	9066	7132	22659	15763	16137	11008	10597	8930	13663	17807	Turkey
Dominican Republic	7836	9958	13405	10037	20141	18696	16087	12476	15431	14938	16781	17016	Turkey
Madagascar	2552	1915	2413	2145	7742	13985	5833	4876	5109	4165	9784	14627	Turkey
Nepal	3436	9616	10696	11513	12658	17405	15760	31298	54922	41131	26808	14389	Turkey
Zimbabwe	3156	6549	5768	7930	15268	8302	4844	11925	10742	10330	12924	13637	Turkey
Cuba	1653	1698	2833	6219	22180	16475	16987	13729	13536	11593	20232	13017	Turkey
Togo	544	6964	47030	45713	46312	45580	8668	5790	12055	17471	10550	10881	Turkey
Uganda	11198	11494	7746	3606	8507	12632	7069	10924	8569	10145	7487	9100	Turkey
Seychelles	733	254	474	2811	1064	5583	8959	5301	13942	9351	7783	9046	Turkey
Palau	0	0	0	0	0	2728	2308	361	1315	1444	681	9033	Turkey
Congo	7851	11228	25966	12173	8209	82405	5089	7746	8444	3945	1471	8704	Turkey
Yemen	310	1044	464	368	261	10751	10951	21	675	1239	5506	7666	Turkey
Burkina Faso	4856	44872	146997	222725	37600	22950	46526	44745	63614	8658	20618	7510	Turkey
Bahamas	4362	1534	1155	8447	137130	5240	16540	28	29	2458	366	7414	Turkey
Honduras	559	1989	6983	2081	5683	2318	2668	3922	4417	3438	4910	5842	Turkey
Benin	0	3217	942	1864	1697	1552	2912	2849	22409	26712	15924	5465	Turkey
Somalia	164	1361	2465	1163	1116	1718	1343	2156	1030	5842	6980	4938	Turkey
Comoros	8103	2873	13397	10534	5850	1078	776	46	3311	7443	7777	4646	Turkey
Angola	9	276	341	1812	8006	4964	156	5947	1364	2043	2324	4228	Turkey
Paraguay	72026	221921	229434	150331	292077	372639	140379	260387	300543	107409	35689	4187	Turkey
Zambia	2596	8316	113457	6017	1476	13783	3098	5188	5213	3073	5571	4135	Turkey
Lao People's Democratic Republic	544	1314	1153	1786	3046	2679	1438	1536	4545	6813	6719	3832	Turkey
Mali	898	1397	2841	2095	454	9483	2259	9128	29941	20319	8665	3807	Turkey
Armenia	1052	2626	133	222	437	1358	988	1386	2145	1957	2665	3352	Turkey
Mauritius	6799	6574	7015	6167	7873	7578	6672	5000	3782	2775	3328	2702	Turkey
Mongolia	3	896	3010	8	436	140	547	5153	1821	4264	594	2107	Turkey
Saint Kitts and Nevis	3072	2688	1170	2007	3688	4016	18	6947	7137	2961	4	1981	Turkey
El Salvador	355	384	615	455	482	1292	1275	5017	3868	3977	2432	1904	Turkey
Sierra Leone	2368	10610	23063	47870	23726	26172	1810	4094	938	2789	2946	1788	Turkey
Central African Republic	3558	5145	5017	4380	2981	2587	3022	2752	919	3016	1977	1774	Turkey
Gambia	11	10	46	1016	34	115	25	4	3	0	1338	1460	Turkey
Guyana	601	2413	4320	2575	4404	3625	83	19	4089	3202	1169	1401	Turkey
Saint Vincent and the Grenadines	3050	5032	8722	10726	9603	8711	0	191	893	1137	6534	1194	Turkey
Faroe Islands	1	44	24	2	118	17	70	128	134	267	199	1192	Turkey
Guinea-Bissau	0	0	0	604	130	572	1543	1588	897	108	652	1180	Turkey
Congo, Democratic Republic of the	6178	3170	18933	40888	56722	204092	130523	34460	9389	8287	461	939	Turkey
Nicaragua	68	146	348	210	229	309	308	254	292	440	820	932	Turkey
Bhutan	0	3	3	2	2	1638	1526	195	2455	2213	1487	921	Turkey
Haiti	116	56	58	257	518	163	149	252	303	261	701	709	Turkey
Gibraltar	9864	7	191	28	7710	55	7146	6783	22	31	1	625	Turkey
United States Minor Outlying Islands	400	186	78	259	490	723	1324	134	595	81	305	455	Turkey
Papua New Guinea	8	8	27	36	18	5	50	87	68	62	295	365	Turkey
Niger	59	9	14	79	182	40	55	110	869	2200	151	166	Turkey
Jamaica	17	6	218	150	739	539	221	73	149	414	1080	160	Turkey
Namibia	141	244	3384	6833	4201	3629	1751	804	766	1975	2444	129	Turkey
Burundi	2	2	28	0	0	3	41	42	102	113	485	107	Turkey
Tuvalu	0	0	0	3813	0	1	0	0	0	0	0	99	Turkey
Korea, Democratic People's Republic of	2221	4559	3615	3498	3663	3072	14718	6304	1808	1096	120	93	Turkey
Niue	28	56	49	135	257	155	283	118	86	129	93	81	Turkey
Suriname	75	117	251	163	91	187	302	430	255	253	219	81	Turkey
Antigua and Barbuda	0	0	642	5290	3723	87	1752	816	581	1	6346	73	Turkey
Timor-Leste	0	0	0	0	0	0	0	0	0	3	1	68	Turkey
Dominica	495	12	1087	504	1831	111	96	0	157	16	3	63	Turkey
Djibouti	1062	387	232	89	411	136	113	149	406	244	43	54	Turkey
Fiji	7	0	1	1	23	149	107	40	108	35	73	45	Turkey
Nauru	7	17	57	100	84	31	20	69	34	8	18	42	Turkey
Montserrat	6	0	0	0	1	8	6	0	0	0	0	40	Turkey
Macao, China	4831	434	538	395	3074	3059	2170	62	90	29	18	34	Turkey
Sao Tome and Principe	1	6	4	4	379	2509	0	27	0	10	0	26	Turkey
Equatorial Guinea	30	57	397	509	72	332	105	653	25	227	3699	25	Turkey
Maldives	0	11	1	2	77	1	2	508	109	13	18	24	Turkey
Barbados	363	1338	3	59	94	1191	6	3	1066	1702	84	19	Turkey
Cayman Islands	0	1595	4	4314	880	6	2	63	553	121	88	18	Turkey
Tokelau	1	12	0	3	10	6	7	18	4	12	43	14	Turkey
Wallis and Futuna Islands	0	0	0	0	0	0	0	0	0	0	0	14	Turkey
Brunei Darussalam	1	0	35	2	0	59	16	3	36	3	1	14	Turkey
French Polynesia	0	0	13	12	7	0	23	0	51	74	53	14	Turkey
Lesotho	176	142	115	38	10	79	34	40	43	6	29	13	Turkey
Andorra	8	1	2	48	77	136	166	75	82	54	41	12	Turkey
Greenland	47	4	8	5	126	3	4	15	2	1	37	12	Turkey
Cabo Verde	0	2	227	1	0	1091	3075	2635	1053	472	538	9	Turkey
Eswatini	2	9	31	5	18	15	45	31	312	51	153	9	Turkey
Turks and Caicos Islands	0	0	1	0	1	0	1	0	8	2	1	9	Turkey
Botswana	186	0	1	0	0	6	245	10	4	4	39	5	Turkey
Eritrea	588	10	9	1	126	27	20	2375	0	20	0	4	Turkey
Bermuda	1	151	0	85	13857	44	3980	7	24	7	26	3	Turkey
Belize	886	2333	2340	4549	6699	7862	3014	1503	1041	1068	3651	2	Turkey
Grenada	4	0	2	0	0	1	5	1	2	0	2	2	Turkey
Curaçao	0	0	392	4607	1977	66	4748	11230	8417	0	0	2	Turkey
Cocos (Keeling) Islands	0	0	0	6	0	0	0	0	0	0	0	1	Turkey
Saint Helena	3	0	20	55	0	0	6	2	0	0	10	1	Turkey
Kiribati	0	0	0	1976	1	0	4	1	0	0	0	1	Turkey
New Caledonia	7	0	5	25	80	10	4	16	116	0	2	1	Turkey
British Indian Ocean Territory	0	3	20	2	2	1	2	44	4	0	94	0	Turkey
British Virgin Islands	8706	216	1240	1	2357	2255	1813	6267	21713	7323	11	0	Turkey
Christmas Island	1	51	59	51	1	66	2	25	40	0	7	0	Turkey
Falkland Islands (Malvinas)	85	4	318	96	2	20	91	9	42	53	20	0	Turkey
French Southern and Antarctic Territories	0	0	29	0	1	16	0	0	0	42	554	0	Turkey
Oceania Nes	0	2	0	0	0	0	0	0	0	0	0	0	Turkey
Vanuatu	265	0	256	3963	2664	4	17935	9732	5437	21432	310	0	Turkey
Norfolk Island	0	0	0	0	0	0	0	8	8	0	0	0	Turkey
Africa not elsewhere specified	13	0	0	9	87	7	0	0	0	0	0	0	Turkey
Northern Mariana Islands	243	49	2	2	89	81	1	17	1	6	0	0	Turkey
Pitcairn	1	0	1	7	1	14	2	1	8	0	0	0	Turkey
Anguilla	0	0	0	59	0	10	0	4	3	0	0	0	Turkey
St. Pierre and Miquelon	0	3	1	1	5	161	2	1	1	0	3	0	Turkey
Free Zones	965287	878447	1038057	1045827	130	0	1227213	1434903	1564460	1322322	0	0	Turkey
Special categories	0	0	0	0	13354784	13609217	0	0	0	0	0	0	Turkey
Solomon Islands	0	0	1	2180	2237	1412	418	15	4	0	2	0	Turkey
Mayotte	780	1510	566	0	2608	0	0	0	0	0	0	0	Turkey
Cook Islands	0	0	2068	1803	2563	3524	768	453	711	2	0	0	Turkey
Netherlands Antilles	448	325	0	0	0	0	0	0	0	0	0	0	Turkey
Aruba	16542	1	14443	5108	5	7	0	7	0	1	0	0	Turkey
Micronesia, Federated States of	0	0	1	0	1	0	0	0	0	0	0	0	Turkey
Saint Lucia	7	7	17	7	29	0	32	140	185	27	6	0	Turkey
Sudan (before 2012)	7262	5215	9370	0	0	0	0	0	0	0	0	0	Turkey
Tonga	2	0	350	0	0	0	0	0	0	0	0	0	Turkey
Samoa	44	0	6	67	2	0	0	0	0	540	4	0	Turkey
World	1601895800	1968259901	2263619100	2334677700	2326590200	2410855500	2315889217	2249113117	2406075845	2609126878	2563536173	2406931650	USA
China	309530233	382964820	417340262	444386004	459107864	486296238	504041702	481369890	525748647	562700012	470950852	456449466	USA
Mexico	178321648	232251415	265113824	279957417	283133714	296855759	299226220	296223311	315605003	347334381	359339933	328684629	USA
Canada	227577354	280426518	317921220	327502570	337126102	354171825	303241052	284181632	306209371	325886992	326157091	277301761	USA
Japan	98401031	123762733	132558803	150447023	142136718	137503838	135106465	135071179	139725457	145685070	146922199	122470639	USA
Germany	72632756	84129523	100675925	111298413	116406340	125532375	127253591	116287929	119968194	128334752	129912049	117360598	USA
Viet Nam	13038309	15888134	18456988	21371334	25904256	32011178	39687860	43747879	48421844	51261469	69159005	83184456	USA
Korea, Republic of	40543872	50607876	58605754	60997693	64611252	71745454	74064956	71888186	73420731	76183626	79939067	78358655	USA
Switzerland	16282606	19504925	24815128	26211250	28771393	31759081	32044482	36932183	36551972	41696360	45470392	75623129	USA
Ireland	28187871	33974844	39506389	33500453	31626777	34097160	39508412	45721195	49089289	57675027	62110667	66322479	USA
Taipei, Chinese	29349133	37159839	42728528	40216023	39296457	42014561	42459113	40594199	43901555	47236391	55926925	62455846	USA
India	22042750	30708298	37455489	41904468	43217508	46985468	46668862	47732038	50518071	56373209	60139434	53580200	USA
United Kingdom	48249947	50674818	52149820	56004751	53728268	55316559	59089264	55275044	54292593	61763752	64329380	51193934	USA
Italy	27276729	29478894	35093651	38185434	39869829	43360963	45497718	46614696	51327917	56215884	58850597	50964335	USA
Malaysia	23888396	26624530	26490292	26653205	27994839	31113046	34720616	37309235	38099154	40127276	41439669	45298020	USA
France	34582355	38982184	40804611	42533570	46540391	47750027	48873887	47770563	50054586	53634266	58648522	43803792	USA
Thailand	19863864	23624244	25751271	26992183	27070801	28026525	29618386	30464033	32214281	33017066	34753869	39232276	USA
Singapore	15856691	17695832	19367940	20462919	18102078	16651709	18526733	18062549	19620200	26791148	26690408	31125739	USA
Netherlands	16573999	20642808	24949969	22897908	19924889	21580663	17657314	16676992	18463011	25286523	30753117	28141457	USA
Brazil	21017805	25009190	32838643	33254643	28658285	31607114	28523717	27047119	30563486	32394688	32164478	24508358	USA
Belgium	13997087	15842319	17804275	17734070	19389119	21383561	20018444	17453222	15422838	17871045	20657743	21289120	USA
Indonesia	13650991	17394393	19991263	18845046	19769655	20314195	20658999	20126720	21147819	21817401	21144147	21274538	USA
Russian Federation	18993424	26538543	35557790	30232471	27851650	24465063	17169926	15292785	17776033	21570691	23174692	17771592	USA
Spain	8190323	8905307	11461146	12199507	12090927	14901316	14682879	13964762	16264241	17805935	17450074	15945146	USA
Israel	18961438	21231630	23269737	22340593	23071898	23421561	24924426	22631685	22368848	22184745	19916473	15568969	USA
Australia	8220815	8795064	10364476	9673226	9203540	10765046	11213392	9785914	10299601	10326781	11084638	14676613	USA
Sweden	8405691	10791023	11810806	10508128	9427467	10545070	10164252	9957664	11127201	12017855	12660855	12723649	USA
Austria	6162950	6917707	9524377	9560139	9828303	10889475	11571444	11121006	12001329	13898911	13487262	11922826	USA
Denmark	5699234	6145915	6908881	6906846	6607380	7631110	7885697	8075676	7847499	9022233	11169822	11819481	USA
Turkey	3856854	4424450	5464067	6614586	7007254	7763895	8360187	8493605	9876257	10871856	11252483	11738853	USA
South Africa	5967518	8359458	9623790	8829785	8585148	8466310	7509148	6968572	7953087	8669284	7980866	11527704	USA
Philippines	7060925	8300339	9481141	9910143	9604547	10495177	10612702	10373590	11958154	12932237	13074410	11496628	USA
Colombia	11875343	16229639	23720047	25213482	22157560	18858161	14698460	14435556	14126807	14277831	14719631	11332632	USA
Chile	6620214	7688180	9735525	10083153	11190496	10265746	9583609	9545744	11295743	12197873	11148166	10913783	USA
Saudi Arabia	23243140	32643466	48760013	57327162	53100430	48352776	23359963	18009132	19612956	24619663	13824883	9519279	USA
Poland	2143030	3105460	4530245	4782449	5060926	5340571	5821464	6142636	7338712	8264085	8637128	8869328	USA
Hong Kong, China	3682878	4431657	4524491	5569722	5802891	5995091	6942297	7550930	7530279	6421432	4825957	7974297	USA
Cambodia	2004671	2402004	2807102	2799684	2870575	2951402	3146511	2916164	3172198	3951586	5551874	6867585	USA
Ecuador	5610194	7834763	10033290	9895686	11971956	11296254	7921862	6493997	6758667	7080567	7352596	6384038	USA
Bangladesh	3886495	4541169	5083031	5107248	5583498	5475305	6225086	6119726	5889645	6328156	6904284	6303847	USA
Peru	4412194	5507906	6905854	6672068	8405336	6413467	5385311	6551444	7617601	8269790	6508600	5928744	USA
Czech Republic	1978431	2533173	3453621	4046943	4039630	4479008	4637604	4544950	4735826	5157473	5694202	5703258	USA
Costa Rica	5803271	8933644	10367071	12306743	12177013	9765911	4717608	4574903	4828224	5158155	5420682	5623008	USA
Hungary	2267476	2545327	3013471	3268284	3842813	5369828	5807390	5435305	5169516	5170987	5398693	5389658	USA
Dominican Republic	3420570	3771603	4312688	4485743	4382080	4637891	4783548	4788623	4867716	5443043	5694443	5349498	USA
Slovakia	641244	1097167	1437884	1812073	1797411	2140321	2338010	2559299	3085135	4230408	5201854	5103340	USA
Finland	4134392	4046474	4611767	5294379	4853979	5226663	4679743	4747745	6062700	7356415	6590083	5092361	USA
Argentina	4133442	4007943	4735427	4575543	4870332	4453638	4187223	4911127	5001429	5032734	5134105	4411122	USA
New Zealand	2721200	2936739	3352481	3620245	3666953	4158631	4483889	4219933	4337001	4366399	4280222	4379044	USA
Guatemala	3379081	3747797	4977593	4782540	4474578	4536272	4437077	4278975	4396576	4564829	4307073	4172229	USA
Norway	5889633	7195094	8551727	6781436	5720384	5571377	5000342	4655352	5316948	7093279	6825824	4144922	USA
Pakistan	3361197	3727939	4025928	3828393	3887604	3869193	3909901	3617847	3762096	3896455	4115703	4114379	USA
Honduras	3489642	4103873	4692888	4853609	4757715	4857914	5010823	4869034	4813140	4926742	5030340	4072485	USA
Portugal	1629321	2225065	2671206	2706727	2936552	3323709	3397661	3333859	3654466	4030072	4040111	3940000	USA
Nicaragua	1672654	2095891	2682665	2834219	2882231	3182650	3289427	3378833	3342263	3675968	3965153	3656860	USA
Iraq	9719249	12624748	17368920	19638420	13546578	14158798	4568489	6319321	11159119	12125420	7240544	3266564	USA
United Arab Emirates	1565393	1196291	2508100	2326200	2382005	2939276	2600835	3556619	4474142	5224351	4571422	3217070	USA
Trinidad and Tobago	5623791	7012450	8506041	8585318	6840698	6291690	4590479	3164428	3530561	3878252	3627809	2667553	USA
Sri Lanka	1667518	1832262	2182609	2366089	2569638	2800451	3030696	2905625	2978536	2793338	2862714	2552485	USA
Egypt	2169428	2355253	2161942	3108390	1696507	1482053	1479985	1561842	1719011	2581742	3299148	2303853	USA
Romania	772235	1056588	1498106	1690345	1784440	2189345	2243641	2037828	2274651	2696814	2456396	2212044	USA
El Salvador	1881101	2273734	2559804	2669490	2515411	2471843	2609685	2571240	2534648	2582042	2552680	1991259	USA
Jordan	954306	1007774	1090566	1188002	1227503	1432621	1525953	1592461	1728207	1856716	2226706	1920384	USA
Nigeria	19737386	31357508	34465732	19405879	11984702	3935445	2003790	4372278	7318430	5766173	4760328	1555194	USA
Greece	887634	844931	911190	1049905	1017837	1107544	1446297	1319753	1355388	1723037	1625310	1411343	USA
Lithuania	619557	665087	1093273	1227087	1609638	1137632	1114937	1243337	1563964	1318208	1150265	1389374	USA
Ukraine	513843	1130036	1528025	1408044	1084736	973143	897201	609507	1074749	1424847	1358028	1376117	USA
Slovenia	400534	481734	563605	580395	593501	721570	701993	774362	784151	876730	992851	1221055	USA
Qatar	535934	489969	1239682	1035736	1336890	1779410	1385312	1188794	1236799	1619282	1748658	1218108	USA
Estonia	168971	721582	996136	521702	435791	574883	517609	1016676	623244	980377	1031113	1102231	USA
Morocco	519974	752280	1065606	994586	1032860	1054926	1065205	1059611	1291486	1615895	1650299	1095837	USA
Myanmar	91	0	0	38	31234	95903	150126	253288	379430	511494	852992	1073542	USA
Kazakhstan	1598221	1934960	1714209	1608874	1459593	1459478	850869	766837	829127	1439209	1270124	938682	USA
Côte d'Ivoire	778650	1215111	1309329	1138811	1049143	1235662	1061614	1200548	1256357	1293080	958169	914243	USA
Oman	966515	810175	2288065	1421884	1083985	1040158	973146	1193363	1126823	1342370	1220677	886675	USA
Bulgaria	240871	273615	433613	532407	537674	632197	626415	628810	685296	1018182	943625	884080	USA
Haiti	565999	564957	760196	793040	866489	927370	971974	917726	939115	1012270	1071775	862131	USA
Guyana	178927	307408	432088	534680	478053	518577	439704	439771	321730	261260	140204	780925	USA
Ghana	144379	282949	801198	305268	381268	285497	325957	335385	781165	613076	986493	759937	USA
Kuwait	3969194	5586994	8010061	13346041	12941385	11728607	4882946	3482845	3023077	2126163	1446460	741061	USA
Panama	321991	402620	409990	563310	467703	447204	425493	426610	458261	436753	455536	726745	USA
Bahrain	502727	445977	547474	733349	666202	1004835	950597	804631	1032996	1025117	1095730	668796	USA
Madagascar	266513	113209	90801	114379	183715	219674	324927	453969	753423	906349	859511	625997	USA
Croatia	261340	353279	458431	465336	439897	479011	591367	524797	448573	480162	563918	615954	USA
Tunisia	338169	417803	365341	759292	771705	537724	563458	403649	476534	668281	484598	591428	USA
Uruguay	254365	248574	304162	372385	442034	477025	629062	557758	607826	532298	541975	586084	USA
Kenya	292757	325074	397009	404502	466430	609179	594305	570507	587914	660024	685469	584434	USA
Latvia	151863	205856	374815	256459	285779	286506	317789	350308	468008	744163	837327	546746	USA
Ethiopia	119458	134563	149423	189520	200872	214044	319046	247102	302822	458394	587370	539666	USA
Luxembourg	456084	473419	513178	573601	664709	785118	662801	520318	515846	573154	660484	507124	USA
Algeria	11150476	14943690	14912503	10201300	4960483	4794597	3537242	3418707	3991780	4781633	2592963	502717	USA
Angola	9703061	12273945	13833012	10030265	8922895	5837752	2917054	2976766	2686494	2768831	984169	497346	USA
Cameroon	267655	310206	343085	320198	381702	199552	142944	161069	125893	229189	305710	490351	USA
Serbia	64573	168205	138210	150466	530255	285282	282419	322328	307482	340677	356068	469046	USA
Iceland	189784	211317	226695	299931	311638	320055	338194	395910	439464	460043	514804	452870	USA
Jamaica	500947	364478	620633	555500	446242	312520	328729	324093	349970	392850	406234	396238	USA
Bolivia, Plurinational State of	522530	694167	915072	1693445	1262702	1943178	1014384	983770	573815	494569	462083	389159	USA
Belarus	596394	181893	374264	159262	111634	140611	166335	143509	294891	419176	401051	354831	USA
Lesotho	315889	311796	394700	321134	361437	372885	344159	319725	316745	430159	332198	312577	USA
Bahamas	844826	842052	787723	587792	619099	555226	470619	307395	470879	497828	425676	287806	USA
Fiji	167507	208294	160167	221851	209017	219111	244482	246829	273652	274989	298798	267627	USA
Mauritius	177418	206255	261909	269356	347871	411334	405486	346623	295684	329888	356692	251316	USA
Libya, State of	1981282	2186740	666411	2554198	2622122	231535	167149	245277	1435039	1447572	1572465	224895	USA
Lebanon	79335	87771	82918	84614	96323	75856	96404	110963	131586	111985	153761	198332	USA
Suriname	148284	208399	346463	319240	330593	477625	157438	71203	72502	91965	88170	183731	USA
Venezuela, Bolivarian Republic of	28780267	33313828	43865921	39341379	32477094	30863481	16223428	11444240	12750583	13538495	2016256	179175	USA
Botswana	132738	170456	294172	221682	278323	323786	220334	444441	784489	468874	280393	178253	USA
Malta	223326	269556	253440	263136	216839	177279	245471	1298787	165858	189512	174647	176712	USA
Macedonia, North	46334	38850	54898	89960	64125	171145	207685	234874	260534	360964	290366	164241	USA
Paraguay	63981	68839	118589	204610	291129	209657	174164	159049	133836	138013	173009	160603	USA
Georgia	71617	205912	185190	238337	182790	407573	188466	98207	136508	198596	158551	157287	USA
Faroe Islands	85052	92898	135553	99055	168540	191169	136993	173855	153222	139940	179863	151205	USA
Equatorial Guinea	2587064	2289205	1223538	1746595	928693	268274	174790	210133	378145	606230	349213	145357	USA
Congo	3188684	3391746	2458667	1514767	1192601	433438	313692	137544	134160	445426	583377	139976	USA
Tanzania, United Republic of	51179	44055	60724	117569	72124	88639	108350	151572	127202	99320	133460	123853	USA
Mozambique	39691	66285	36312	39359	77437	101018	97771	108933	148657	115111	139794	111754	USA
Lao People's Democratic Republic	45805	61866	60370	25733	32427	34615	47826	57483	98792	146482	152870	106820	USA
Senegal	7508	5487	7228	17624	17934	26458	74961	56375	75452	131993	136436	104769	USA
Macao, China	246097	147329	117637	99701	97317	76569	124124	121676	98111	104229	104546	103774	USA
Bosnia and Herzegovina	26077	26865	51574	53680	59826	86159	80998	78354	88784	106464	108255	101925	USA
Nepal	59945	66162	83865	89553	83430	92281	92423	94424	97686	105146	97578	92591	USA
Namibia	329286	195624	439766	233028	263210	256971	85802	92287	120232	119941	144939	91343	USA
Brunei Darussalam	42671	13271	25882	89103	17873	32883	20096	13991	23409	102042	43922	90302	USA
Papua New Guinea	107379	101338	145361	121152	132099	103153	93852	93909	126173	92814	72615	90009	USA
Uganda	32724	60459	48450	36684	49972	48084	66577	53966	81603	71382	83425	86776	USA
Sudan	0	0	0	6991	11064	12914	9765	15667	14226	16599	93121	85887	USA
Gabon	1283322	2276497	4659045	1934584	1144324	832821	353020	114328	208990	298816	128618	83635	USA
Uzbekistan	89854	68779	51483	26296	26913	15085	10739	31078	14853	19015	34887	81510	USA
Niger	107563	27026	293292	83296	2405	4673	4244	6324	7336	29584	47228	79546	USA
Curaçao	0	0	560796	858149	407256	374720	391949	358177	224983	203705	202790	75970	USA
Armenia	79103	78832	96718	93100	106559	101212	66017	44859	70903	56132	57335	71031	USA
Cyprus	53547	11713	21995	30498	44908	65590	33488	54862	49140	70012	74656	60770	USA
Moldova, Republic of	8838	13313	17353	27187	37488	37475	46746	40026	42681	58696	67648	60033	USA
Belize	108074	130121	199976	168831	133926	103531	81467	58093	280672	229016	60156	53849	USA
Saint Kitts and Nevis	50650	52971	56699	58853	56105	57792	58484	50692	49264	53840	58218	51079	USA
